躄	[tích] ① Khoèo cả hai chân gọi là tích 躄, khoèo một chân gọi là bả 跛 (có chỗ đọc là bí).
泉	[tuyền] ① Suối: 溫泉 Suối nước nóng; 淚如泉涌 Nước mắt trào ra như suối; 崑山有泉 Núi Côn sơn có suối (Nguyễn Trãi: Côn Sơn ca); ② (văn) Tiền, đồng tiền; ③ [Quán] (Họ) Tuyền.
泅	[tù] Bơi, lội: 武裝泅渡 Bơi vũ trang.
泄	[tiết] ① Tiết ra, xì ra, tuôn ra: 排泄 Bài tiết; ② Tiết lộ; ③ Phát tiết, trút ra: 泄恨 Trút giận; 泄憤 Trút căm thù; ④ (văn) Khinh nhờn: 武王不泄邇，不忘遠 Võ vương không coi thường các bề tôi ở gần, không bỏ quên các bề tôi ở xa (Mạnh tử).
泂	[quýnh] (văn) ① (Nước) sâu và trong; ② Xa thăm thẳm; ③ Giá lạnh.
況	[huống] ① Tình hình: 近況 Tình hình gần đây; ② Ví (dụ), so sánh: 比況 Ví dụ: ③ (văn) Huống chi: 這件事大人還做不到，何況是小孩 Việc này người lớn còn làm chưa được, huống chi là trẻ con; 困獸猶鬥，況國將乎？ Con thú lúc bị vây khốn còn tìm cách chống cự, huống gì một vị quốc tướng? (Tả truyện). 【況復】 huống phục [kuàngfù] (văn) Như 況于;【況乎】huống hồ [kuàng hu] (văn) Như 況于; 【況乃】 huống nãi [kuàngnăi] (văn) Như 況于;【況且】huống thả [kuàng qiâ] (lt) Huống hồ, huống chi, hơn nữa, vả lại; 【況于】huống vu [kuàngyú] (văn) Huống chi, huống gì, nói gì: 且庸人尚羞之，況于將相乎？ Vả lại người tầm thường còn thẹn về việc đó, huống gì là tướng? (Sử kí); 天尚如此，況于君乎？況于鬼神乎？ Trời còn như thế, huống chi là vua? Huống chi là quỷ thần? (Bì Tử Văn tẩu: Nguyên báng); ⑤ (văn) Càng thêm: 衆況厚之 Dân chúng càng cho ông ấy là người nhân hậu (Quốc ngữ: Tấn ngữ); ⑥ (văn) Tới thăm; ⑦ (văn) Cho (như 貺, bộ 貝); ⑧ [Kuàng] (Họ) Huống.
沿	[duyên] Bờ, bên: 河沿 Bên sông; 沿兒 Bờ rãnh. Xem 沿 [yán].
沿	[duyên] ① Ven, mép: 床沿 Mép giường; ② Men theo, đi theo: 沿着河邊走 Đi men theo bờ sông; 所有的汽車都沿運動場停放 Tất cả xe hơi đều đậu lại dọc theo sân vận động; 玉沙瑤草沿溪碧，流水桃花滿澗香 Men khe lá cỏ bơ thờ biếc, đầy suối hoa đào bát ngát hương (Tào Đường: Tiên tử động trung hữu hoài Lưu Nguyễn); ③ Truyền lại, noi theo, kế theo: 世代相沿 Đời nọ truyền đời kia, đời này sang đời khác; 相沿成例 Noi nhau thành lệ. Xem 沿 [yàn].
沾	[triêm] Như 霑
沾	[triêm, điếp] ① Thấm, thấm ướt: 汗水沾衣 Mồ hôi thấm áo; 悲君老別淚沾巾 Thương cho anh lúc tuổi già li biệt lệ thấm ướt cả khăn (Lí Bạch); ② Dính: 爛泥沾在衣服上 Bùn dính vào quần áo; ③ Nhiễm, tiêm nhiễm: 沾染了壞習慣 Nhiễm thói xấu; ④ (văn) Thơm lây, được nhờ. 【沾光】 triêm quang [zhanguang] Thơm lây, được nhờ; ⑤ (văn) Hí hửng.
沽	[cổ] (văn) ① Người bán rượu: 屠沽 Kẻ bán thịt bán rượu; ② Vật xấu xí.
沽	[cô] ① Mua (rượu): 殺雞沽酒，款待來客 Mua rượu làm gà thết khách; 沽酒市脯不食 Rượu mua nem mua không ăn (Luận ngữ); ② Bán: 待價而沽 Chờ được giá mới bán; 求善價而沽諸？ Cầu giá đắt mà bán nó chăng? (Luận ngữ); ③ [Gu] Sông Cô.
汎	[phiếm] (văn) ① Như 泛 nghĩa ①, ③ và ④; ② Bơi thuyền.
汍	[hoàn] (văn) 【汍瀾】 hoàn lan [wánlán] (Khóc) sụt sùi.
汊	[xá] Ngã ba sông, dòng nước rẽ, nhánh rẽ.
汉	[hán] Như 漢
汇	[hối] Như 滙
汇	[hội, hối] Như 匯
汆	[thộn, tù] ① (đph) Lênh đênh, lềnh bềnh, bồng bềnh: 木頭在水上汆 Miếng gỗ lênh đênh trên mặt nước; ② (đph) Rán, ran: 油汆花生米 Lạc rán, đậu phộng ran; ③ (văn) (Nước) xói đi, đẩy đi; ④ (văn) Bơi. Xem 汆 [cuan].
汆	[thoản] ① Nấu, luộc: 汆湯 Nấu canh; 汆黃瓜片 Luộc dưa chuột (đã thái mỏng); ② (đph) Đun (nước): 汆了一汆子水 Đã đun một ống nước; ③ 【汆子】 thoản tử [cuanzi] Cái ống đun nước (bằng đồng hay sắt). Cg. 汆兒 [cuanr]. Xem 汆 [tưn].
檮	[đào] (văn) ① Ngớ ngẩn; ② Người ngu dốt, người đần độn; ③ Xem 杌.
檬	[mông] Xem 檸檬 [níng méng].
檩	[lẫm] Như 檁
檥	[nghĩ] (văn) Buộc thuyền vào bờ.
檣	[tường] (văn) Cột buồm: 帆檣如林 Cột buồm như rừng, thuyền bè tấp nập.
檢	[kiểm] ① Tra, kiểm tra: 漢語檢字表 Bảng tra chữ Hán; ② Kiềm chế (sự cẩn thận, chăm chú trong cử chỉ, lời nói, giao thiệp): 行爲失檢 Đi đứng mất ý tứ; 言語失檢 Ăn nói không kiềm chế; ③ Như 撿 (bộ 扌); ④ Kiểm điểm; ⑤ Hạn chế, điều tiết; ⑥ (văn) Khuôn mẫu; ⑦ [Jiăn] (Họ) Kiểm.
檠	[kềnh] (văn) ① Đồ dùng để chỉnh cung nỏ; ② Đế đèn, chân đèn. Cv. 㯳.
檟	[giả] ① (thực) Tên gọi khác của cây thu. Xem 楸; ② Trà (theo tên gọi thời cổ). Xem 茶 (bộ 艹).
檞	[giải] (văn) Cây giải (có lõi như cây thông).
檝	[tiếp] (văn) Mái chèo. Như 楫.
檜	[cối] Cối (dùng trong tên người): 秦檜 Tần Cối (một gian thần thời Nam Tống). Xem 檜 [guì].
檜	[cối] ① (thực) Cây cối (một loại thông); ② [Guì] Nước Cối. Xem 檜 [huì].
檗	[phách] Cây hoàng phách (loại cây cao rụng lá, cành có thể dùng làm thuốc nhuộm vàng, vỏ cây làm thuốc).
檔	[đáng, đương] ① Tủ đựng hồ sơ: 歸檔 Cất vào tủ hồ sơ; ② Hồ sơ: 查檔 Soát lại hồ sơ; ③ 【檔子】đáng tử [dàngzi] (đph) Việc: 一檔子事 Một việc. Cg. 檔兒 [dàngr]; ④ (văn) Cái phản.
檑	[lôi] 【檑木】lôi mộc [léimù] Những khúc gỗ lớn (thời xưa dùng để thủ thành, lúc tác chiến cho lăn xuống từ trên cao để đánh địch).
檐	[diêm] Như 簷
檐	[diêm, thiềm] ① Mái (nhà), hiên, mái hiên: 在屋檐下 Dưới mái hiên; ② Vành (nón...).
檎	[cầm] (thực) Táo đỏ nhỏ (Malus asiatica). Cg. 林檎.
檉	[sanh] (thực) Cây liễu bách. Cg. 觀音柳 [guàn yin liư].
檇	[tuy] ① (văn) Nện; ② 【檇李】tuy lí [zuìlê] a. Một loại mận; b. [Zuìlê] Tên đất (nay thuộc huyện Gia Hưng, tỉnh Chiết Giang, Trung Quốc).
檄	[hịch] ① (Bài) hịch; ② Dùng bài hịch để kêu gọi hoặc lên án: 檄將士文 Bài kêu gọi các tướng sĩ (của Trần Quốc Tuấn).
榑	[phù] 【榑桑】phù tang [fúsang] ① Cây dâu thần ở ngoài biển, theo truyền thuyết là chỗ mặt trời mọc; ② Một nước cổ, theo truyền thuyết nằm ở biển Đông, xưa để chỉ nước Nhật.
榉	[cử] Như 櫸
榈	[lư] Như 櫚
榇	[sấn, thấn] Như 櫬
榆	[du] Cây du.
榅	[ôn] Như 榲
榄	[lãm] Như 欖
概	[khái] ① Cái chung, đại thể, bao quát, tổng quát, toàn thể, tóm lại: 概而論之 Nói tóm lại; ② Nhất luật: 概不退換 Nhất luật không đổi. Xem 一概 [yigài]; ③ Khí khái, khí phách, dũng khí: 氣概 Khí khái; ④ (văn) Gạt phẳng.
楼	[lâu] Như 樓
楹	[doanh] ① Cột nhà; ② (loại) Gian (nhà).
楸	[thu] (thực) Cây thu (một loại gỗ cứng dùng để làm bàn cờ).
楷	[khải] ① Khuôn phép, kiểu mẫu.【楷模】khải mô [kăi mó] Khuôn mẫu, gương mẫu, mẫu mực; ② Lối viết chữ chân: 正楷 Chữ viết chân phương. Xem 楷 [jie].
楷	[giai] (đph) Gỗ hoàng liên. Xem 楷 [kăi].
業	[nghiệp] ① Nghiệp, ngành nghề: 工農業 Công nông nghiệp; 畢業 Tốt nghiệp, mãn khóa; 各行各業 Các ngành nghề; ② Làm nghề: 業農 Làm nghề nông; ③ Đã. 【業經】nghiệp kinh [yèjing] Đã: 業經公布 Đã công bố; 【業已】nghiệp dĩ [yèyê] Đã... rồi: 業已準備就緒 Đã chuẩn bị đâu vào đấy rồi; ④ (văn) Sợ hãi: 兢兢業業 Đau đáu sợ hãi; ⑤ (tôn) 【業障】nghiệp chướng [yè zhàng] (tôn) Nghiệp chướng; ⑥ Công nghiệp, sự nghiệp: 帝業 Công nghiệp của vua chúa.
楬	[kệ, kiệt] (văn) Cột mốc.
楫	[tiếp] (văn) ① Mái chèo; ② Chiếc thuyền.
楩	[tiện] (văn) Một loại cây to. Cg. 黃楩.
楨	[trinh] Cọc (đóng để xây tường thời xưa).
楦	[huyên] ① Nhồi chặt, độn chặt: 把瓷器箱楦好 Độn chặt rương đồ sứ; ② Khuôn (làm giày hoặc mũ); ③ Căng giày bằng khuôn giày. Cv. 楥.
楥	[huyên] Như 楦.
楣	[mi] Bậu cửa.
楢	[du] (văn) Cây du (một loài cây có gỗ cứng có thể dùng làm bánh xe hoặc đánh lửa).
楠	[nam] Cây nam, cây chò. Như 枬.【楠木】nam mộc [nán mù] (thực) Gỗ lim.
楞	[lăng] Như 棱 [léng].
楝	[luyện] (thực) Cây xoan. Cg. 金鈴子 [jinlíngzi].
楚	[sở] ① (văn) Khóm cây nhỏ, bụi gai; ② (văn) Đau khổ: 苦楚 Khổ sở, đau đớn cơ cực; 酸楚 Chua cay đau đớn; ③ Rõ ràng, bóng nhoáng: 清楚 Rõ ràng; ④ [Chư] Nước Sở (một nước chư hầu đời Chu, thuộc tỉnh Hồ Nam, Hồ Bắc Trung Quốc ngày nay); ⑤ [Chư] (Họ) Sở.
楙	[mậu] (văn) ① Cây hộ (thời xưa dùng làm tên bắn); ② Thô sơ không bền chắc.
楘	[mộc] (văn) Lớp da bọc để trang sức càng xe (thời xưa).
楔	[tiết] ① Gỗ chêm, cái nêm; ② (văn) Ngạch cửa; ③ (văn) Chống đỡ.
楓	[phong] (thực) Cây phong: 江楓漁火 Đèn chài và cây phong bên bờ sông.
楎	[hồn] (văn) Một loại cày.
楎	[huy] (văn) Cọc gỗ đóng vào tường để treo quần áo.
楊	[dương] ① Cây dương: 白楊 Cây bạch dương; ② [Yáng] (Họ) Dương.
楅	[bức] (văn) ① Thanh cây ngang buộc ở sừng trâu để nó không húc người; ② Đồ để giắt mũi tên lúc làm lễ hương xạ (lễ thi bắn cung trong làng thời xưa để chọn người bắn giỏi).
楂	[tra] Cây tra (dùng như 查). Xem 山楂 [shanzha]. Xem 茬 [chá].
楂	[tra] Bè gỗ (dùng như 查).
椿	[xuân] ① Cây xuân; ② [Chun] (Họ) Xuân.
椾	[tiên] Như 牋 (bộ 片).
椽	[chuyên] 【椽子】 chuyên tử [chuánzi] Cây rui (để lợp ngói). Cg. 椽條 [chuántiáo].
椹	[châm] (văn) Cái thớt dùng để chém đầu (một hình cụ thời xưa).
椹	[thậm] (văn) Quả dâu. Như 葚 (bộ 艹).
椸	[di] (văn) Giá áo, mắc áo.
椷	[giam] ① Hộp gỗ; ② Phong thơ, phong bì thơ: 一椷 Một phong thơ. Như 緘 (bộ 糸); ③ Li có chân.
椶	[tông] ① Cây cọ, cây gồi; ② Xơ cọ: 椶繩 Dây cọ.
椴	[đoạn] (thực) Cây đoạn.
椳	[ôi] Chốt cửa.
椰	[da] Cây dừa. 【椰子】da tử [yezi] ① Cây dừa; ② Quả dừa.
椭	[thoả] Như 橢
椤	[la] Như 欏
椠	[tạm] Như 槧
椟	[độc] Như 櫝
椘	[sở] Như 楚.
椗	[đính] Như 碇 (bộ 石).
椓	[trác] (văn) ① Đánh đập, nện; ② Hình phạt thiến dái. (Ngr) Quan hoạn; ③ Tố cáo.
椒	[tiêu] ① Ớt: 辣椒 (Quả) ớt; ② Hạt tiêu: 胡椒 Hạt tiêu; ③ (văn) Đỉnh núi.
椐	[cử] Như 櫸.
椐	[cư] Cây cư, cây linh thọ.
椏	[nha] Chạc (cây). 【椏杈】nha thoa [yacha] Chạc, chạc cây. Cv. 丫杈.
椎	[trùy] Xương sống, sống: 頸椎 Đốt xương sống cổ, đốt sống cổ; 尾椎 Đốt sống cùng.
椎	[trùy] ① Nện, đánh; ② Cái vồ; ③ Chậm chạp: 椎鈍 Chậm chạp ngu độn.
植	[thực] ① Trồng, cấy: 植樹造林 Trồng cây gây rừng; 合理密植 Cấy dầy hợp lí; ② Dựng, cắm: 植其杖于門側 Dựng chiếc gậy bên cửa; ③ Thực vật, cây trồng.
椇	[củ] (văn) ① Cây củ (một loại cây cao rụng lá, quả ngọt như mật). Cg. 木蜜 [mùmì]; ② Cái giá gỗ để phóng sanh khi tế tự thời xưa.
椅	[ỷ] ① Ghế dựa: 藤椅 Ghế mây; ② Cây ỷ (Idesia policarpa). Cg. 山桐子.
椁	[quách] Như 槨
椀	[oản, uyển] (văn) Như 盌 (bộ 皿) và 碗 (bộ 石).
棼	[phần] (văn) ① Cây xà ngắn; ② Vải gai; ③ Rối rắm, lộn xộn.
棻	[phân] (văn) Một thứ gỗ thơm.
棺	[quán] (văn) Liệm vào áo quan.
棺	[quan] Săng, áo quan, quan tài.
棵	[khỏa] (loại) Cây, gốc, ngọn: 三棵牡丹 Ba cây mẫu đơn.
棣	[đệ] (văn) ① Em, đệ (như 弟, bộ 弓): 賢棣 Hiền đệ; ② Cây đường đệ.
棠	[đường] Cây hải đường: 海棠 Hải đường.
棟	[đống] ① (văn) Nóc (nhà); ② Trụ cột; ③ Toà, ngôi, nóc (chỉ số nhà): 一棟樓房 Một toà nhà (gác).
棚	[bằng] ① Trần, lán, giàn: 頂棚 Trần nhà; 瓜棚 Giàn bí; 戲棚 Giàn hát; ② Lều, chuồng: 蓆棚 Lều chiếu; 草棚 Lều tranh; 牛棚 Chuồng bò; 搭一個棚 Dựng một cái lều; ③ (cũ) Bằng (đơn vị quân đội thời xưa, gồm 14 người).
棘	[cức] ① Gai; ② Cây táo gai; ③ (văn) Quan to: 棘卿 Quan khanh; 棘署 Dinh quan khanh; ④ (văn) Kíp, gấp: 孔棘且殆 Rất gấp và lại nguy (Thi Kinh); 棘人 Người đang có tang (đang có việc gấp).
棗	[tảo] Táo: 棗樹 Cây táo; 烏棗 Táo đen; 紅棗 Táo đỏ.
棕	[tông] Như 椶.
棓	[bội] 【五棓子】ngũ bội tử [wưbèizi] (dược) Ngũ bội tử. Cv. 五倍子.
棓	[bang] (văn) ① Như 棒; ② Dụng cụ đập lúa.
棒	[bổng] ① Gậy: 木棒 Gậy gỗ; 棍棒 Gậy gộc; ② (văn) Đánh gậy; ③ (khn) Khỏe, tài, giỏi, hay, tốt, đẹp, cừ: 這小伙子身體眞棒 Cậu thanh niên này khỏe thật; 畫得棒 Vẽ rất tài; 字寫得棒 Chữ viết đẹp; 唱得眞棒 Hát rất hay; 他足球踢得眞棒 Anh ta đá bóng rất cừ; ④ (đph) Cứng, rắn, dai: 棒硬 Cứng nhắc, rắn đanh; 肉沒煮爛，還棒着哪！ Thịt nấu chưa nhừ, còn dai quá!
棍	[côn] ① Gậy, que, côn: 指揮棍 Gậy chỉ huy; 鐵棍 Gậy sắt; 火柴棍 Que diêm; ② Côn đồ, ác ôn, con: 賭棍 Con bạc; 惡棍 Ác ôn; 訟棍 Thầy cò, thầy kiện.
棋	[kì] Cờ, con cờ: 下棋 Đánh cờ; 圍棋 Cờ vây; 棋的着數 Nước cờ (Cv. 招數); 連贏三盤棋 Thắng liền ba ván cờ.
棊	[kì] Như 棋.
棉	[miên] ① Cây bông; ② Bông. 【棉布】miên bố [miánbù] Bông.
棄	[khí] Vứt, bỏ: 拋棄 Vứt bỏ; 棄置不顧 Vứt đó bỏ mặc; 人棄我取 Người bỏ ta lấy; 唾棄一切 Vứt bỏ tất cả.
梵	[phạm, phạn] ① Thanh tịnh; ② (Thuộc về) Phật giáo: 梵宮 Chùa chiền; ③ Chữ Phạn: 梵語 Phạn ngữ (ngôn ngữ cổ xưa của Ấn Độ); ④ Tăng lữ quý tộc Ấn Độ; ⑤ (văn) Như 花 (bộ 艹).
梳	[sơ] ① Cái lược: 木梳 Lược gỗ. Cg. 攏子 [lôngzi]; ② Chải: 梳頭 Chải đầu.
梲	[chuyết] (văn) Rầm (nhà).
梲	[thoát] (văn) Sơ lược (như 脫, bộ 肉).
梱	[khổn] (văn) ① Ngưỡng cửa; ② Sắp cho bằng đều.
械	[giới] ① Cơ giới, khí cụ: 機械 Máy móc, cơ giới; ② Khí giới: 繳械 Tước khí giới; ③ (cũ) Gông xiềng, cái cùm (chân tay); ④ Xảo trá, dối trá: 機械百出 Dối trá trăm chiều; ⑤ (văn) Bó buộc.
梯	[thê] ① Thang: 樓梯 Cầu thang, thang gác; 軟梯 Thang dây; ② Vật hình thang: 梯形 Hình thang; 梯田 Ruộng bậc thang; ③ (văn) Nhờ cậy người để làm nên: 梯榮 Nhờ người khác mà được vẻ vang.
梭	[toa, thoa] ① Cái thoi: 梭子 Con thoi; 日月如梭 Ngày tháng như thoi đưa; ②【梭巡】toa tuần [suoxún] (văn) Đi tuần tra.
梨	[lê] Như 棃
梨	[lê] Như 棃.
梧	[ngô] (thực) ① Cây ngô đồng (Firmiana platanifolia).【梧桐】ngô đồng [wútóng] (thực) Cây ngô đồng, cây dông; ②【支梧】chi ngô [zhiwu] Xem 支 (bộ 支), nghĩa ⑪; ③【魁梧】khôi ngô [kuíwú] (Vóc người) cao lớn, vạm vỡ, lực lưỡng, khôi ngô.
梦	[mộng] Như 夢 (bộ 夕).
梦	[mộng] Xem 夢 (bộ 夕).
梢	[sao, tiêu] ① Ngọn cây: 樹梢兒 Ngọn cây; ② Đuôi, phần cuối: 眉梢 Đuôi lông mày; ③ (văn) Bánh lái thuyền: 梢公 Người lái đò; ④ (văn) Cái cần; ⑤ (văn) Cái ngòi bị nước chảy xoáy dần ra; ⑥ (văn) Tiếng gió.
梠	[lữ] (văn) Ngưỡng cửa, xà ngang trên cửa.
梟	[kiêu] ① (động) Cú vọ, chim cú. Cg. 鵂鶹 [xiuliú]; ② (văn) Hung hăng tham lam; ③ Hình phạt chém đầu rồi bêu lên cây; ④ (văn) Mạnh khỏe: 梟騎 Quân ki å khỏe mạnh; ⑤ (cũ) Kẻ buôn lậu muối: 毒梟 Kẻ buôn lậu ma tuý.
條	[điều] ① Cành nhỏ: 柳條兒 Cành liễu; ② Vật nhỏ và dài: 麵條 Mì sợi; 金條 Vàng thỏi; 布條 Vải vụn; ③ Điều khoản: 憲法第一條 Điều thứ nhất trong Hiến Pháp; ④ Trật tự: 有條不紊 Mạch lạc, có thứ tự, có trật tự; ⑤ Tiêu điều; ⑥ (loại) Chiếc, con, cây...: 一條魚 Một con cá; 一條褲子 Một chiếc quần.
梗	[ngạnh] ① Cành, cuống: 荷梗 Cuống sen; 花梗 Cành hoa; ② (văn) Cánh bèo: 萍梗 Người trôi giạt như cánh bèo; ③ Vươn, nghển: 梗着脖子 Nghển cổ; ④ Cản trở, trở ngại: 從中作梗 Trở ngại từ bên trong; ⑤ (Cây cỏ) đâm vào người; ⑥ Ngang ngạnh; ⑦ (văn) Ngay thẳng; ⑧ (văn) Bệnh.
梔	[chi] Cây dành dành: 梔子 Hạt dành dành, chi tử.
梓	[tử] ① Cây thị; ② Bản khắc, khắc chữ (lên bản gỗ): 梓行 Hiệu khắc chữ; 付梓 Đưa đi khắc; 梓版 Bản khắc gỗ (để in).
梐	[bệ] Xem 枑.
梏	[cốc] ① Cái cùm tay: 桎梏 Gông cùm, sự giam cầm, sự kìm kẹp; ② Rối loạn.
梆	[bang] ① Cái mõ cầm canh: 敲梆子 Gõ mõ; ② (thanh) Cốp cốp, cốc cốc (tiếng mõ kêu).
梅	[mai] ① Cây hoa mai, hoa mai; ② Cây mơ, quả mơ; ③ [Méi] (Họ) Mai.
梁	[lương] ① (ktrúc) Xà, rầm: 屋梁 Xà nhà; 正梁 Xà đòn dông; 二梁 Xà nhì; 無梁殿 Điện không xà; ② Cầu: 橋梁 Cầu, nhịp cầu; ③ Sống, đỉnh: 鼻梁 Sống mũi; 山梁 Đỉnh núi; ④ [Liáng] Nhà Lương (thời Nam Bắc triều ở Trung Quốc, năm 502-557); ⑤ [Liáng] (Họ) Lương.
桿	[hãn] ① Cán, quản, cây (dùng như 桿): 筆桿 Quản bút; 旗桿 Cán cờ; 槍桿兒 Cây súng. Xem 槓桿; ② (loại) Khẩu, cây...: 一桿槍 Một khẩu súng; 一桿枰 Một cây cân; ③ Như 桿 [gan], nghĩa ②; ④ Xem 槓桿 [gànggăn]. Xem 桿 [gan].
桿	[can] ① Cột, trụ, gậy gỗ: 旗桿 Cột cờ; 電線桿 Cột điện, cột đèn; ② Sào (đơn vị đo chiều dài của Anh, = 5, 5yards). Xem 桿 [găn].
